query_id,query_text_hash,split,domain,question_type,static_or_dynamic,policy_id,source_policy_id,selected_endpoints,endpoint_count,api_call_count,api_failure_count,retry_count,total_latency_ms,p_endpoint_latency_ms,measured_cost_units,estimated_token_count,context_item_count,context_token_count,source_count,raw_quality_components,governance_eligible,governance_disqualification_reason,answer_correctness_score,evidence_support_score,abstention_score,answerability_score,final_quality_score,abstained,abstention_correct
crag_task_1_and_2_dev_v5_q_1d78264499c05c93,,validation,finance,aggregation,slow-changing,static_default_policy,static_default_rag_policy,/finance/get_company_name,1,1,0,0,7.110041566193104,7.110041566193104,1.0,640,10,640,10,"{""mock_api_result_count"": 10, ""parent_raw_quality"": 0.75, ""successful_call_count"": 1}",True,,0.75,1.0,1.0,1.0,0.8249999999999998,False,True
crag_task_1_and_2_dev_v5_q_1d78264499c05c93,,validation,finance,aggregation,slow-changing,low_retrieval_single_endpoint,top_k_low,/finance/get_company_name,1,1,0,0,4.284827969968319,4.284827969968319,0.85,640,10,640,10,"{""mock_api_result_count"": 10, ""parent_raw_quality"": 0.75, ""successful_call_count"": 1}",True,,0.75,1.0,1.0,1.0,0.8249999999999998,False,True
crag_task_1_and_2_dev_v5_q_1d78264499c05c93,,validation,finance,aggregation,slow-changing,expanded_retrieval_multi_endpoint,top_k_high,/finance/get_company_name|/finance/get_ticker_by_name,2,2,0,0,4.841440357267857,2.4207201786339283,2.0,640,10,640,10,"{""mock_api_result_count"": 10, ""parent_raw_quality"": 0.625, ""successful_call_count"": 2}",True,,0.625,1.0,1.0,1.0,0.7374999999999999,False,True
crag_task_1_and_2_dev_v5_q_1d78264499c05c93,,validation,finance,aggregation,slow-changing,adaptive_routing_on_insufficient_evidence,retrieval_confidence_gating,/finance/get_company_name,1,1,0,0,4.340541549026966,4.340541549026966,0.9,640,10,640,10,"{""mock_api_result_count"": 10, ""parent_raw_quality"": 0.75, ""successful_call_count"": 1}",True,,0.75,1.0,1.0,1.0,0.8249999999999998,False,True
crag_task_1_and_2_dev_v5_q_1d78264499c05c93,,validation,finance,aggregation,slow-changing,greedy_regression_aware_search,greedy_regression_aware_search,/finance/get_company_name,1,1,0,0,4.273539409041405,4.273539409041405,0.95,640,10,640,10,"{""mock_api_result_count"": 10, ""parent_raw_quality"": 0.75, ""successful_call_count"": 1}",True,,0.75,1.0,1.0,1.0,0.8249999999999998,False,True
crag_task_1_and_2_dev_v5_q_1d78264499c05c93,,validation,finance,aggregation,slow-changing,optuna_tpe,optuna_tpe,/finance/get_company_name|/finance/get_ticker_by_name|/open/search_entity_by_name,3,3,0,0,7.2526587173342705,2.41755290577809,3.4499999999999997,1280,20,1280,20,"{""mock_api_result_count"": 20, ""parent_raw_quality"": 0.6666666666666666, ""successful_call_count"": 3}",True,,0.6666666666666666,1.0,1.0,1.0,0.7666666666666666,False,True
crag_task_1_and_2_dev_v5_q_1d78264499c05c93,,validation,finance,aggregation,slow-changing,rag_compass,ragtune_no_fork,/finance/get_company_name,1,1,0,0,4.244275391101837,4.244275391101837,0.95,640,10,640,10,"{""mock_api_result_count"": 10, ""parent_raw_quality"": 0.75, ""successful_call_count"": 1}",True,,0.75,1.0,1.0,1.0,0.8249999999999998,False,True
crag_task_1_and_2_dev_v5_q_5cb6a3313315ba63,,validation,finance,aggregation,slow-changing,static_default_policy,static_default_rag_policy,/finance/get_company_name,1,1,0,0,4.199757240712643,4.199757240712643,1.0,640,10,640,10,"{""mock_api_result_count"": 10, ""parent_raw_quality"": 0.75, ""successful_call_count"": 1}",True,,0.75,1.0,1.0,1.0,0.8249999999999998,False,True
crag_task_1_and_2_dev_v5_q_5cb6a3313315ba63,,validation,finance,aggregation,slow-changing,low_retrieval_single_endpoint,top_k_low,/finance/get_company_name,1,1,0,0,4.082167521119118,4.082167521119118,0.85,640,10,640,10,"{""mock_api_result_count"": 10, ""parent_raw_quality"": 0.75, ""successful_call_count"": 1}",True,,0.75,1.0,1.0,1.0,0.8249999999999998,False,True
crag_task_1_and_2_dev_v5_q_5cb6a3313315ba63,,validation,finance,aggregation,slow-changing,expanded_retrieval_multi_endpoint,top_k_high,/finance/get_company_name|/finance/get_ticker_by_name,2,2,0,0,4.401194863021374,2.200597431510687,2.0,640,10,640,10,"{""mock_api_result_count"": 10, ""parent_raw_quality"": 0.625, ""successful_call_count"": 2}",True,,0.625,1.0,1.0,1.0,0.7374999999999999,False,True
