phase_order,run_id,suite,approximate_date,dataset_or_source,evidence_class,result_class,result_summary,governed_winner,quality_only_winner,rag_compass_status,primary_baseline,delta,ci_low,ci_high,win_count,tie_count,loss_count,certificate,supports_claims,limits_claims,claim_boundary,source_type,sanitized_summary_path
1,spectra_quantum_fighter_summary,early_spectra_quantum_fighter_simulations,,SPECTRA / Quantum Fighter simulations,synthetic_or_simulation,NO_SUPPORTED_ADVANTAGE_REFUSAL_DISCIPLINE,204 / 204 succeeded; inconclusive 8; refused 4; simulation-supported advantage 0; classical baselines dominated.,,,no RAG Compass claim,,,,,,,,,refusal discipline around unsupported advantage claims,No quantum/hardware advantage supported.,Synthetic/simulation only; no hardware or quantum advantage claim.,summarized_project_record,results/historical/selected_run_summaries/01_spectra_quantum_fighter_summary.md
2,synthetic_mechanism_matrix_v1_summary,ragtune_synthetic_mechanism_matrix_v1,,synthetic RAGTune mechanisms,synthetic_mechanism,SYNTHETIC_MECHANISM_EXPLORATION_CONTROLS_UNDERCALIBRATED,"1,080 / 1,080 succeeded across 12 synthetic LLM-adaptation mechanisms, 5 held-out seeds, and 18 optimizers/ablations per dataset-seed; initial controls undercalibrated.",,,candidate-only in synthetic setting,,,,,,,,,engineering mechanism exploration,Not external proof.,Synthetic mechanism evidence only.,summarized_project_record,results/historical/selected_run_summaries/02_synthetic_mechanism_matrix_summary.md
3,calibration_pass_v2_summary,calibration_pass_v2,,synthetic controls,synthetic_controls,SYNTHETIC_CONTROLS_CALIBRATED,"234 / 234 controls-only succeeded; full calibration 2,160 / 2,160 succeeded; random-label refusal, linear sanity, merge-required, memory-required, regression-awareness, cost-awareness, and budget parity controls passed.",,,no external RAG Compass claim,,,,,,,,,synthetic controls calibrated,Not external proof.,"Synthetic controls support mechanism sanity, not public validation.",summarized_project_record,results/historical/selected_run_summaries/02_synthetic_mechanism_matrix_summary.md
4,external_transfer_smoke_summary,external_transfer_smoke,,"ragbench, ifeval, helpsteer2, dolly15k, bfcl",external_transfer_smoke,PRELIMINARY_EXTERNAL_SIGNAL,"Imported ragbench 1000, ifeval 541, helpsteer2 1000, dolly15k 1000, bfcl 400; 24 / 24 succeeded; candidate external signal only.",,,candidate external only,,,,,,,,Candidate external signal,preliminary external signal,Not confirmatory.,Preliminary smoke evidence only.,summarized_project_record,results/historical/selected_run_summaries/03_external_transfer_summary.md
5,expanded_external_transfer_summary,expanded_external_transfer,,external-transfer scenarios,external_transfer_development,CANDIDATE_EXTERNAL_SIGNAL_PRELIMINARY,"450 / 450 succeeded; candidate signals for adapter planning, RAG policy, and tool routing; inconclusive for data curation preference, hallucination faithfulness, and prompt regression; full beat best non-SQUARE baseline in 6 / 6 scenarios; No-Fork best cost-adjusted in 6 / 6 scenarios.",,,preliminary No-Fork signal later bounded,,,,,,,,Candidate external signal,preliminary external-transfer signal,Not confirmatory proof.,Development evidence only.,summarized_project_record,results/historical/selected_run_summaries/03_external_transfer_summary.md
6,ragtruth_enriched_external_transfer_summary,ragtruth_enriched_external_transfer,,"RAGTruth, HAGRID, ExpertQA, RAGBench",external_transfer_development,RAG_POLICY_CANDIDATE_SIGNAL_FAITHFULNESS_INCONCLUSIVE,"150 / 150 succeeded over 23,555 rows; RAG policy optimization candidate signal; hallucination/faithfulness inconclusive with retrieval/confidence gating issues.",,,"No-Fork cost-adjusted signal, faithfulness inconclusive",,,,,,,,Candidate external signal,RAG policy candidate signal,Hallucination/faithfulness inconclusive.,Development evidence only.,summarized_project_record,results/historical/selected_run_summaries/03_external_transfer_summary.md
7,ragtruth_adaptive_compute_matrix_summary,ragtruth_adaptive_compute_matrix,,RAGTruth adaptive-compute matrix,development,ADAPTIVE_COMPUTE_PROMISING_NEEDS_MATCHED_COST,160 / 160 succeeded; adaptive compute final 0.8341; cost-adjusted 0.0820; fork invocation 16.7%; positive fork ROI 100%; needed matched-cost controls.,,,not a RAG Compass superiority result,,,,,,,,,adaptive compute promising,Needed matched-cost controls.,Development evidence only.,summarized_project_record,results/historical/selected_run_summaries/03_external_transfer_summary.md
8,square_adaptive_architecture_benchmark_v1_summary,square_adaptive_architecture_benchmark_v1,,SQUARE adaptive architecture simulations,simulation,ARCHITECTURE_CANDIDATE_SIGNAL_SEPARATE_FROM_RAGTUNE,"135 / 135 succeeded; candidate architecture signals for compute_allocation_trap, dynamic_topology_routing, and protect_known_good_while_adapting.",,,separate from RAG Compass,,,,,,,,,architecture candidate signal,Separate from RAGTune governance evidence.,Simulation only.,summarized_project_record,results/historical/selected_run_summaries/01_spectra_quantum_fighter_summary.md
9,square_core_validation_matrix_v1_summary,square_core_validation_matrix_v1,,SQUARE core validation simulations,simulation,CORE_VALIDATION_CANDIDATE_SIGNALS_HARDWARE_UNVALIDATED,"1,625 / 1,625 succeeded; candidate signal 12; inconclusive 24; refused 2; adaptive architecture strongest; physical SQUARE hardware remains unvalidated.",,,separate from RAG Compass,,,,,,,,,simulation candidate signals,Physical SQUARE hardware remains unvalidated.,No hardware/quantum advantage claim.,summarized_project_record,results/historical/selected_run_summaries/01_spectra_quantum_fighter_summary.md
10,square_tune_matched_cost_rag_v1_full_matrix_20260802-232631-5449febfb3,square_tune_matched_cost_rag_v1,2026-08-02,matched-cost real RAG,real_rag_development,UTILITY_FRAGILE_CANDIDATE_SIGNAL,"90 / 90 succeeded; normalized rows 110,691; scenario rows 24,934; duplicate query leakage 0; No-Fork ranked second behind oracle and first among non-oracle candidates; certificate utility fragile.",,,"RAG Compass / ragtune_no_fork candidate signal, utility fragile",best_single_policy_on_validation,,,,,,,Utility fragile,adaptive compute signal beyond simple gating; No-Fork candidate signal,Utility fragile; development setting.,"Real-RAG development, not confirmatory.",summarized_project_record,results/historical/selected_run_summaries/04_matched_cost_real_rag_kill_test.md
