example_id,question_hash,split,question_type,difficulty_level,policy_id,policy_family,selector_eligible,context_count,context_token_count,supporting_fact_count,supporting_fact_title_recall,supporting_fact_sentence_recall,answer_correctness_f1,answer_exact_match,answer_containment,evidence_efficiency,abstained,abstention_correctness,final_quality_score,measured_cost_units,total_latency_ms,api_call_count,failure
ab3b7eb790b3a8954eaa8d8f418cc47b97ad87b3127784f6baf4c3b7ddda3f64,5dda555f7bbde715cefa2f2ba0d287c9215cca56b33fe5b0c4c1bb7fc8362c48,confirmatory_test,comparison,hard,low_retrieval_single_context,low,True,1,19,2,0.5,0.5,1.0,1.0,0.0,1.0,False,1.0,0.8500000000000001,1.019,0.45958254486322403,1,0
ab3b7eb790b3a8954eaa8d8f418cc47b97ad87b3127784f6baf4c3b7ddda3f64,5dda555f7bbde715cefa2f2ba0d287c9215cca56b33fe5b0c4c1bb7fc8362c48,confirmatory_test,comparison,hard,expanded_retrieval_multi_context,expanded,True,4,226,2,1.0,1.0,1.0,1.0,0.0,0.5,False,1.0,0.9750000000000001,4.226,0.30075013637542725,4,0
ab3b7eb790b3a8954eaa8d8f418cc47b97ad87b3127784f6baf4c3b7ddda3f64,5dda555f7bbde715cefa2f2ba0d287c9215cca56b33fe5b0c4c1bb7fc8362c48,confirmatory_test,comparison,hard,adaptive_routing_on_insufficient_evidence,adaptive,True,1,19,2,0.5,0.5,1.0,1.0,0.0,1.0,False,1.0,0.8500000000000001,1.019,0.30233338475227356,1,0
ab3b7eb790b3a8954eaa8d8f418cc47b97ad87b3127784f6baf4c3b7ddda3f64,5dda555f7bbde715cefa2f2ba0d287c9215cca56b33fe5b0c4c1bb7fc8362c48,confirmatory_test,comparison,hard,bm25_low_k,bm25,True,2,183,2,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,0.05,2.183,0.2899998798966408,2,0
ab3b7eb790b3a8954eaa8d8f418cc47b97ad87b3127784f6baf4c3b7ddda3f64,5dda555f7bbde715cefa2f2ba0d287c9215cca56b33fe5b0c4c1bb7fc8362c48,confirmatory_test,comparison,hard,bm25_high_k,bm25,True,6,548,2,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,0.05,6.548,0.27404166758060455,6,0
ab3b7eb790b3a8954eaa8d8f418cc47b97ad87b3127784f6baf4c3b7ddda3f64,5dda555f7bbde715cefa2f2ba0d287c9215cca56b33fe5b0c4c1bb7fc8362c48,confirmatory_test,comparison,hard,rerank_top_k,rerank,True,3,277,2,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,0.05,3.277,0.3515835851430893,3,0
ab3b7eb790b3a8954eaa8d8f418cc47b97ad87b3127784f6baf4c3b7ddda3f64,5dda555f7bbde715cefa2f2ba0d287c9215cca56b33fe5b0c4c1bb7fc8362c48,confirmatory_test,comparison,hard,static_default_policy,static,True,2,123,2,0.5,0.5,1.0,1.0,0.0,0.5,False,1.0,0.8250000000000001,2.123,0.27462467551231384,2,0
ab3b7eb790b3a8954eaa8d8f418cc47b97ad87b3127784f6baf4c3b7ddda3f64,5dda555f7bbde715cefa2f2ba0d287c9215cca56b33fe5b0c4c1bb7fc8362c48,confirmatory_test,comparison,hard,rag_compass_optional,rag,True,3,142,2,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,False,1.0,0.9833333333333334,3.142,0.2750419080257416,3,0
ab3b7eb790b3a8954eaa8d8f418cc47b97ad87b3127784f6baf4c3b7ddda3f64,5dda555f7bbde715cefa2f2ba0d287c9215cca56b33fe5b0c4c1bb7fc8362c48,confirmatory_test,comparison,hard,supporting_fact_aware_oracle_ceiling,supporting,False,2,70,2,1.0,1.0,1.0,1.0,0.0,1.0,False,1.0,1.0,2.07,0.3993744030594826,2,0
8c8c002195d5cbc8944ff4edbba21068e05430845b15438a2be242149023af42,61137c25525c022ce9c3e8c8ca23ae73ea730deeb225cbde124e13b96a1d073f,calibration,bridge,hard,low_retrieval_single_context,low,True,1,55,3,0.5,0.3333333333333333,0.0,0.0,0.0,1.0,True,0.0,0.18333333333333335,1.055,0.41624996811151505,1,0
