run_id,suite,date,dataset,evidence_class,result_class,governed_winner,quality_only_winner,rag_compass_rank,delta,ci_low,ci_high,win_count,tie_count,loss_count,certificate,claim_status,artifact_path
ragtune_governed_selection_confirmatory_v2_20260807-195939-b7bc2f4168,governed_selection_confirmatory_v2,2026-08-07,MultiHop-RAG,full_corpus_backed,GOVERNANCE_NONINFERIOR_NOT_SUPERIOR,ragtune_no_fork,ragtune_no_fork,3,0.0,0.0,0.0,0,331,0,Candidate external signal,noninferiority not superiority,artifacts/selected_run_summaries
ragtune_crag_governance_evaluation_v1_20260808-150441-16ab6bb0fd,crag_governance_evaluation_v1,2026-08-08,CRAG web documents,full_corpus_backed,CRAG_GOVERNANCE_NONINFERIOR_NOT_SUPERIOR,top_k_high,top_k_high,,0.0,0.0,0.0,0,571,0,Candidate external signal,noninferiority not superiority,artifacts/selected_run_summaries
ragtune_crag_mock_api_validation_v1_20260809-165415-92d8c0edd4,crag_mock_api_validation_v1,2026-08-09,CRAG mock API,full_corpus_backed,MOCK_API_VALIDATION_GOVERNANCE_SUPERIOR,top_k_low,greedy_regression_aware_search,5,0.0010025405,0.0010022708,0.0010028250,571,0,0,Candidate external signal,strongest current governance result,artifacts/selected_run_summaries
ragtune_crag_mock_api_repeat_validation_v1_20260809-174530-3685275f39,crag_mock_api_repeat_validation_v1,2026-08-09,CRAG mock API frozen-observation resplits,full_corpus_backed,REPEAT_VALIDATION_REPLICATES_SUPERIORITY,top_k_low,greedy_regression_aware_search,5,,,,1119,0,0,Candidate external signal,split robustness support,artifacts/selected_run_summaries
ragtune_behavioral_governance_primary_outcome_v1_20260809-public-derived,behavioral_governance_primary_outcome_v1,2026-08-09,CRAG mock API sanitized frozen observations,public_full_corpus_mock_api_validation_derived_frozen_observation,GOVERNANCE_REDUCES_COST_AT_EQUIVALENT_QUALITY,low_retrieval_single_endpoint,optuna_tpe,6,-0.0051537115,-0.0051537115,-0.0051537115,197,258,116,Candidate external signal,bounded operational-cost governance support,artifacts/behavioral_governance
ragtune_fresh_live_crag_mock_api_behavioral_governance_v1_20260810-public,FRESH_LIVE_CRAG_BEHAVIORAL_GOVERNANCE_V1,2026-08-10,CRAG fresh live mock API,fresh_live_crag_mock_api_sanitized_live_sample,FRESH_CRAG_BLOCKED_QUALITY_MEASURE_PROXY_ONLY,measured_cost_minimizer_at_quality_floor,adaptive_routing_on_insufficient_evidence,10,0.0,0.0,0.0,,,,"Blocked quality measure",restored live mock API but usable quality signal absent,artifacts/fresh_live_crag_behavioral_governance
ragtune_hotpotqa_behavioral_governance_v1_20260810-public,HOTPOTQA_BEHAVIORAL_GOVERNANCE_V1,2026-08-10,HotpotQA,hotpotqa_public_corpus_behavioral_governance_sanitized_sample,HOTPOTQA_GOVERNANCE_OPERATIONAL_GAIN_QUALITY_LOSS,expanded_retrieval_multi_context,bm25_high_k,4,-0.0408366801,-0.0910876841,0.0125803213,,,,Candidate external signal,quality-loss negative/mixed,artifacts/hotpotqa_behavioral_governance
ragtune_multi_dataset_behavioral_governance_synthesis_v1_20260810-public,MULTI_DATASET_BEHAVIORAL_GOVERNANCE_SYNTHESIS_V1,2026-08-10,CRAG plus HotpotQA,multi_dataset_synthesis,MULTI_DATASET_BEHAVIORAL_GOVERNANCE_INCONCLUSIVE,,,,,,,,,,Inconclusive,fresh CRAG blocked on quality signal and HotpotQA quality-loss,results/multi_dataset_behavioral_governance
ragtune_hotpotqa_generative_quality_signal_audit_v1_20260810-public,GENERATIVE_LLM_VALIDATION_V1_1,2026-08-10,HotpotQA,hotpotqa_local_generative_quality_signal_audit,GEN_LLM_GOVERNANCE_INCONCLUSIVE,expanded_retrieval_multi_context,expanded_retrieval_multi_context,2,0.0,0.0,0.0,,,,Quality signal confirmed but governance inconclusive,12-example local Ollama audit found nonconstant quality but same governed and quality-only winner,artifacts/generative_llm_validation/hotpotqa_quality_signal_audit
ragtune_crag_generative_llm_validation_v1_1_20260810-public,GENERATIVE_LLM_VALIDATION_V1_1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_sample,GEN_LLM_GOVERNANCE_REDUCES_COST_AT_EQUIVALENT_GENERATED_QUALITY_CRAG,pareto_frontier_selector,expanded_retrieval_multi_endpoint,12,0.0166533759,-0.0363636364,0.0362838915,-3.7790000000,-3.8808000000,-3.7257000000,Bounded support,12-example qwen3 think=false run produced 132 nonempty answers and reduced measured cost at equivalent generated-answer quality,artifacts/generative_llm_validation/crag
